SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
42015,1610612737,ATL,Atlanta Hawks,41500204,5/8/2016,ATL vs. CLE,L,239,99,40,83,0.482,9,31,0.29,10,14,0.714,9,33,42,22,10,7,12,16,-1
42015,1610612737,ATL,Atlanta Hawks,41500203,5/6/2016,ATL vs. CLE,L,239,108,41,84,0.488,16,34,0.471,10,12,0.833,6,22,28,29,8,7,14,21,-13
42015,1610612737,ATL,Atlanta Hawks,41500202,5/4/2016,ATL @ CLE,L,241,98,30,71,0.423,11,27,0.407,27,30,0.9,8,32,40,18,3,3,16,23,-25
42015,1610612737,ATL,Atlanta Hawks,41500201,5/2/2016,ATL @ CLE,L,242,93,33,87,0.379,11,34,0.324,16,21,0.762,15,33,48,21,6,7,12,22,-11
42015,1610612737,ATL,Atlanta Hawks,41500136,4/28/2016,ATL @ BOS,W,241,104,38,74,0.514,8,24,0.333,20,27,0.741,3,39,42,26,6,12,18,23,12
42015,1610612737,ATL,Atlanta Hawks,41500135,4/26/2016,ATL vs. BOS,W,242,110,42,96,0.438,14,35,0.4,12,16,0.75,13,38,51,30,13,3,12,17,27
42015,1610612737,ATL,Atlanta Hawks,41500134,4/24/2016,ATL @ BOS,L,264,95,37,99,0.374,12,42,0.286,9,13,0.692,12,37,49,18,8,6,14,20,-9
42015,1610612737,ATL,Atlanta Hawks,41500133,4/22/2016,ATL @ BOS,L,240,103,38,86,0.442,9,36,0.25,18,21,0.857,7,34,41,19,10,7,13,24,-8
42015,1610612737,ATL,Atlanta Hawks,41500132,4/19/2016,ATL vs. BOS,W,240,89,32,82,0.39,11,29,0.379,14,16,0.875,3,46,49,20,7,15,15,16,17
42015,1610612737,ATL,Atlanta Hawks,41500131,4/16/2016,ATL vs. BOS,W,238,102,35,86,0.407,5,26,0.192,27,35,0.771,13,40,53,23,4,9,11,20,1
22015,1610612737,ATL,Atlanta Hawks,21501221,4/13/2016,ATL @ WAS,L,240,98,32,81,0.395,11,30,0.367,23,31,0.742,9,38,47,22,13,5,22,21,-11
