SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,NUM_WINS,NUM_LOSSES
22015,1610612738,BOS,Boston Celtics,1621500002,2015-07-06,BOS @ UTA,L,201,82,29,71,0.408,6,25,0.24,18,23,0.7829999999999999,6,25,31,17,10,4,10,31,-18.0,0.0,1.0
22015,1610612738,BOS,Boston Celtics,1621500003,2015-07-07,BOS @ PHI,L,202,62,19,71,0.268,3,29,0.103,21,30,0.7,10,25,35,5,9,7,9,17,-13.4,0.0,2.0
22015,1610612738,BOS,Boston Celtics,1621500005,2015-07-09,BOS @ SAS,W,202,85,29,65,0.446,12,20,0.6,15,17,0.882,5,29,34,21,7,2,10,12,14.0,1.0,2.0
22015,1610612738,BOS,Boston Celtics,1521500011,2015-07-11,BOS @ POR,W,199,85,24,68,0.353,7,27,0.259,30,37,0.8109999999999999,15,24,39,8,8,5,11,23,9.0,2.0,2.0
22015,1610612738,BOS,Boston Celtics,1521500022,2015-07-12,BOS vs. PHI,W,199,85,25,69,0.362,8,23,0.348,27,32,0.8440000000000001,10,35,45,13,10,7,13,19,9.0,3.0,2.0
22015,1610612738,BOS,Boston Celtics,1521500035,2015-07-14,BOS vs. MIA,W,200,101,31,69,0.449,12,26,0.462,27,33,0.818,10,29,39,18,11,4,10,18,32.0,4.0,2.0
22015,1610612738,BOS,Boston Celtics,1521500052,2015-07-16,BOS vs. POR,W,201,91,29,73,0.397,9,24,0.375,24,28,0.857,7,25,32,15,7,4,8,16,6.0,5.0,2.0
22015,1610612738,BOS,Boston Celtics,1521500061,2015-07-18,BOS vs. SAS,L,200,93,33,77,0.429,8,28,0.28600000000000003,19,28,0.679,9,25,34,17,6,7,8,20,-2.0,5.0,3.0
12015,1610612738,BOS,Boston Celtics,11500016,2015-10-06,BOS @ MLN,W,240,124,46,82,0.561,8,21,0.381,24,29,0.828,8,33,41,31,15,3,14,19,33.0,6.0,3.0
12015,1610612738,BOS,Boston Celtics,11500030,2015-10-08,BOS @ RMD,W,239,111,41,96,0.4270000000000001,8,23,0.348,21,28,0.75,14,37,51,26,15,4,15,30,15.0,7.0,3.0
12015,1610612738,BOS,Boston Celtics,11500059,2015-10-14,BOS @ BKN,W,239,109,40,85,0.471,13,26,0.5,16,22,0.727,7,33,40,28,12,9,14,26,4.0,8.0,3.0
12015,1610612738,BOS,Boston Celtics,11500067,2015-10-16,BOS @ NYK,L,239,95,33,83,0.398,8,21,0.381,21,30,0.7,11,46,57,20,4,7,18,21,-6.0,8.0,4.0
12015,1610612738,BOS,Boston Celtics,11500085,2015-10-19,BOS vs. BKN,W,240,111,41,80,0.513,10,25,0.4,19,26,0.731,12,27,39,26,9,3,23,26,6.0,9.0,4.0
12015,1610612738,BOS,Boston Celtics,11500100,2015-10-22,BOS vs. NYK,W,242,99,38,90,0.422,7,21,0.333,16,26,0.615,14,40,54,28,7,5,13,22,14.0,10.0,4.0
12015,1610612738,BOS,Boston Celtics,11500106,2015-10-23,BOS vs. PHI,W,240,81,35,100,0.35,6,28,0.214,5,12,0.417,18,49,67,20,11,9,17,24,16.0,11.0,4.0
22015,1610612738,BOS,Boston Celtics,21500005,2015-10-28,BOS vs. PHI,W,240,112,39,85,0.459,8,24,0.333,26,27,0.963,10,31,41,31,10,7,17,23,17.0,12.0,4.0
22015,1610612738,BOS,Boston Celtics,21500024,2015-10-30,BOS vs. TOR,L,240,103,32,85,0.376,7,26,0.269,32,41,0.78,7,31,38,23,14,3,17,28,-10.0,12.0,5.0
22015,1610612738,BOS,Boston Celtics,21500040,2015-11-01,BOS vs. SAS,L,241,87,35,98,0.35700000000000004,6,29,0.207,11,14,0.7859999999999999,16,29,45,21,10,5,16,23,-8.0,12.0,6.0
22015,1610612738,BOS,Boston Celtics,21500060,2015-11-04,BOS @ IND,L,240,98,35,83,0.422,10,27,0.37,18,22,0.818,15,34,49,20,7,5,19,22,-2.0,12.0,7.0
22015,1610612738,BOS,Boston Celtics,21500076,2015-11-06,BOS vs. WAS,W,242,118,44,97,0.454,12,30,0.4,18,23,0.7829999999999999,15,38,53,24,18,5,17,21,20.0,13.0,7.0
22015,1610612738,BOS,Boston Celtics,21500110,2015-11-10,BOS @ MIL,W,240,99,38,86,0.442,7,30,0.233,16,19,0.8420000000000001,14,31,45,21,11,6,12,18,16.0,14.0,7.0
22015,1610612738,BOS,Boston Celtics,21500116,2015-11-11,BOS vs. IND,L,240,91,32,77,0.416,4,24,0.16699999999999998,23,32,0.7190000000000001,8,28,36,18,10,3,18,26,-11.0,14.0,8.0
22015,1610612738,BOS,Boston Celtics,21500129,2015-11-13,BOS vs. ATL,W,240,106,42,103,0.408,11,33,0.333,11,12,0.917,17,33,50,27,10,7,10,18,13.0,15.0,8.0
22015,1610612738,BOS,Boston Celtics,21500149,2015-11-15,BOS @ OKC,W,241,100,39,82,0.476,9,23,0.391,13,20,0.65,12,35,47,25,12,7,18,26,15.0,16.0,8.0
22015,1610612738,BOS,Boston Celtics,21500154,2015-11-16,BOS @ HOU,W,240,111,44,93,0.473,11,36,0.306,12,17,0.706,16,33,49,27,16,3,19,22,16.0,17.0,8.0
22015,1610612738,BOS,Boston Celtics,21500168,2015-11-18,BOS vs. DAL,L,240,102,38,92,0.413,8,26,0.308,18,24,0.75,14,29,43,22,12,1,14,28,-4.0,17.0,9.0
22015,1610612738,BOS,Boston Celtics,21500179,2015-11-20,BOS vs. BKN,W,239,120,51,87,0.586,10,29,0.345,8,10,0.8,7,34,41,39,10,4,16,19,25.0,18.0,9.0
22015,1610612738,BOS,Boston Celtics,21500197,2015-11-22,BOS @ BKN,L,241,101,35,82,0.4270000000000001,14,37,0.378,17,21,0.81,10,25,35,19,9,2,17,28,-10.0,18.0,10.0
22015,1610612738,BOS,Boston Celtics,21500210,2015-11-24,BOS @ ATL,L,240,97,34,82,0.415,9,21,0.429,20,26,0.769,10,23,33,23,14,2,16,19,-24.0,18.0,11.0
22015,1610612738,BOS,Boston Celtics,21500217,2015-11-25,BOS vs. PHI,W,239,84,31,91,0.341,9,29,0.31,13,18,0.722,11,43,54,18,7,6,16,12,4.0,19.0,11.0
22015,1610612738,BOS,Boston Celtics,21500229,2015-11-27,BOS vs. WAS,W,240,111,42,97,0.433,12,33,0.364,15,19,0.789,19,39,58,28,11,7,15,15,33.0,20.0,11.0
22015,1610612738,BOS,Boston Celtics,21500249,2015-11-29,BOS @ ORL,L,240,91,36,88,0.409,5,27,0.185,14,20,0.7,9,25,34,28,7,6,11,16,-19.0,20.0,12.0
22015,1610612738,BOS,Boston Celtics,21500255,2015-11-30,BOS @ MIA,W,241,105,38,80,0.475,8,20,0.4,21,25,0.84,12,28,40,23,15,3,15,21,10.0,21.0,12.0
22015,1610612738,BOS,Boston Celtics,21500282,2015-12-03,BOS @ SAC,W,241,114,40,84,0.476,14,33,0.424,20,24,0.833,6,34,40,34,14,5,16,32,17.0,22.0,12.0
22015,1610612738,BOS,Boston Celtics,21500296,2015-12-05,BOS @ SAS,L,240,105,39,86,0.453,12,29,0.414,15,22,0.682,11,28,39,22,9,3,14,22,-3.0,22.0,13.0
22015,1610612738,BOS,Boston Celtics,21500312,2015-12-07,BOS @ NOP,W,240,111,40,81,0.494,12,28,0.429,19,24,0.792,10,36,46,24,8,8,17,18,18.0,23.0,13.0
22015,1610612738,BOS,Boston Celtics,21500319,2015-12-09,BOS vs. CHI,W,240,105,38,92,0.413,5,23,0.217,24,28,0.857,13,32,45,22,10,4,12,22,5.0,24.0,13.0
22015,1610612738,BOS,Boston Celtics,21500336,2015-12-11,BOS vs. GSW,L,290,119,49,114,0.43,12,33,0.364,9,16,0.563,11,40,51,32,7,9,15,30,-5.0,24.0,14.0
22015,1610612738,BOS,Boston Celtics,21500345,2015-12-12,BOS @ CHA,W,240,98,40,96,0.417,9,25,0.36,9,10,0.9,3,39,42,26,5,5,5,13,5.0,25.0,14.0
22015,1610612738,BOS,Boston Celtics,21500367,2015-12-15,BOS vs. CLE,L,240,77,28,87,0.322,9,32,0.281,12,14,0.857,12,29,41,18,6,6,10,11,-12.0,25.0,15.0
22015,1610612738,BOS,Boston Celtics,21500374,2015-12-16,BOS @ DET,L,241,116,43,89,0.483,10,25,0.4,20,24,0.833,10,34,44,17,4,2,18,35,-3.0,25.0,16.0
22015,1610612738,BOS,Boston Celtics,21500389,2015-12-18,BOS vs. ATL,L,240,101,34,77,0.442,10,23,0.435,23,31,0.742,6,37,43,19,5,2,21,25,-8.0,25.0,17.0
22015,1610612738,BOS,Boston Celtics,21500411,2015-12-21,BOS vs. MIN,W,239,113,46,89,0.517,12,25,0.48,9,16,0.563,12,38,50,34,6,9,16,22,14.0,26.0,17.0
22015,1610612738,BOS,Boston Celtics,21500423,2015-12-23,BOS @ CHA,W,240,102,36,85,0.424,7,29,0.241,23,26,0.885,10,39,49,25,9,4,13,23,13.0,27.0,17.0
