SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,NUM_WINS,NUM_LOSSES
22015,1610612741,CHI,Chicago Bulls,1521500010,2015-07-11,CHI @ MIN,W,199,84,30,63,0.47600000000000003,6,21.0,0.28600000000000003,18,28,0.643,7.0,31.0,38.0,19,6.0,4.0,13.0,19,13.0,1.0,0.0
22015,1610612741,CHI,Chicago Bulls,1521500017,2015-07-12,CHI @ TOR,L,201,66,22,70,0.314,3,25.0,0.12,19,28,0.679,10.0,28.0,38.0,12,5.0,2.0,14.0,23,-15.0,1.0,1.0
22015,1610612741,CHI,Chicago Bulls,1521500033,2015-07-14,CHI vs. BKN,L,200,86,34,65,0.523,9,19.0,0.474,9,14,0.643,5.0,30.0,35.0,19,5.0,5.0,17.0,23,-1.0,1.0,2.0
22015,1610612741,CHI,Chicago Bulls,1521500043,2015-07-15,CHI @ CLE,W,200,91,36,74,0.486,8,16.0,0.5,11,12,0.917,9.0,32.0,41.0,22,6.0,4.0,14.0,20,18.0,2.0,2.0
22015,1610612741,CHI,Chicago Bulls,1521500051,2015-07-16,CHI @ TOR,W,201,84,30,84,0.35700000000000004,7,22.0,0.318,17,24,0.708,14.0,27.0,41.0,10,9.0,9.0,10.0,24,4.0,3.0,2.0
22015,1610612741,CHI,Chicago Bulls,1521500063,2015-07-18,CHI @ PHX,L,199,84,29,72,0.40299999999999997,9,27.0,0.33299999999999996,17,22,0.773,17.0,33.0,50.0,13,3.0,7.0,23.0,34,-7.0,3.0,3.0
12015,1610612741,CHI,Chicago Bulls,11500012,2015-10-06,CHI vs. MIL,W,239,105,33,99,0.33299999999999996,13,39.0,0.33299999999999996,26,38,0.684,24.0,35.0,59.0,21,12.0,5.0,15.0,25,10.0,4.0,3.0
12015,1610612741,CHI,Chicago Bulls,11500025,2015-10-08,CHI @ DEN,L,240,94,32,93,0.344,9,24.0,0.375,21,29,0.7240000000000001,23.0,36.0,59.0,18,4.0,2.0,22.0,28,-18.0,4.0,4.0
12015,1610612741,CHI,Chicago Bulls,11500037,2015-10-10,CHI @ MIN,W,241,114,42,85,0.494,16,36.0,0.444,14,18,0.778,8.0,36.0,44.0,30,9.0,2.0,14.0,26,9.0,5.0,4.0
12015,1610612741,CHI,Chicago Bulls,11500045,2015-10-12,CHI vs. NOP,L,240,115,43,91,0.473,11,32.0,0.344,18,23,0.7829999999999999,14.0,38.0,52.0,14,6.0,6.0,14.0,26,-8.0,5.0,5.0
12015,1610612741,CHI,Chicago Bulls,11500057,2015-10-14,CHI vs. DET,L,239,91,37,89,0.41600000000000004,6,21.0,0.28600000000000003,11,15,0.733,18.0,23.0,41.0,17,6.0,3.0,11.0,21,-23.0,5.0,6.0
12015,1610612741,CHI,Chicago Bulls,11500082,2015-10-19,CHI @ CHA,L,240,86,32,85,0.376,6,27.0,0.222,16,24,0.667,13.0,43.0,56.0,20,8.0,1.0,12.0,26,-8.0,5.0,7.0
12015,1610612741,CHI,Chicago Bulls,11500087,2015-10-20,CHI vs. IND,W,240,103,35,78,0.449,12,26.0,0.462,21,25,0.84,8.0,44.0,52.0,22,4.0,4.0,14.0,26,9.0,6.0,7.0
12015,1610612741,CHI,Chicago Bulls,11500103,2015-10-23,CHI vs. DAL,W,240,103,41,92,0.446,9,25.0,0.36,12,17,0.706,8.0,44.0,52.0,25,8.0,6.0,12.0,20,1.0,7.0,7.0
22015,1610612741,CHI,Chicago Bulls,21500002,2015-10-27,CHI vs. CLE,W,240,97,37,87,0.425,7,19.0,0.368,16,23,0.696,7.0,40.0,47.0,13,6.0,10.0,13.0,22,2.0,8.0,7.0
22015,1610612741,CHI,Chicago Bulls,21500006,2015-10-28,CHI @ BKN,W,239,115,42,78,0.5379999999999999,14,28.0,0.5,17,20,0.85,5.0,34.0,39.0,20,9.0,3.0,19.0,24,15.0,9.0,7.0
22015,1610612741,CHI,Chicago Bulls,21500025,2015-10-30,CHI @ DET,L,265,94,34,84,0.405,7,22.0,0.318,19,26,0.731,8.0,42.0,50.0,18,8.0,8.0,19.0,24,-4.0,9.0,8.0
22015,1610612741,CHI,Chicago Bulls,21500043,2015-11-01,CHI vs. ORL,W,240,92,33,87,0.379,7,28.0,0.25,19,22,0.8640000000000001,11.0,36.0,47.0,23,7.0,8.0,13.0,16,5.0,10.0,8.0
22015,1610612741,CHI,Chicago Bulls,21500053,2015-11-03,CHI @ CHA,L,240,105,44,90,0.489,14,30.0,0.467,3,8,0.375,4.0,29.0,33.0,26,5.0,0.0,12.0,19,-25.0,10.0,9.0
22015,1610612741,CHI,Chicago Bulls,21500070,2015-11-05,CHI vs. OKC,W,240,104,40,90,0.444,7,18.0,0.389,17,21,0.81,11.0,36.0,47.0,20,3.0,7.0,6.0,17,6.0,11.0,9.0
22015,1610612741,CHI,Chicago Bulls,21500085,2015-11-07,CHI vs. MIN,L,265,93,33,93,0.355,11,32.0,0.344,16,23,0.696,10.0,40.0,50.0,20,7.0,6.0,18.0,26,-9.0,11.0,10.0
22015,1610612741,CHI,Chicago Bulls,21500100,2015-11-09,CHI @ PHI,W,240,111,41,96,0.4270000000000001,10,25.0,0.4,19,23,0.826,13.0,45.0,58.0,28,6.0,10.0,14.0,19,23.0,12.0,10.0
22015,1610612741,CHI,Chicago Bulls,21500132,2015-11-13,CHI vs. CHA,W,241,102,37,84,0.44,4,16.0,0.25,24,31,0.774,10.0,47.0,57.0,27,4.0,6.0,11.0,16,5.0,13.0,10.0
22015,1610612741,CHI,Chicago Bulls,21500153,2015-11-16,CHI vs. IND,W,240,96,35,86,0.40700000000000003,6,15.0,0.4,20,32,0.625,10.0,38.0,48.0,26,9.0,9.0,8.0,20,1.0,14.0,10.0
22015,1610612741,CHI,Chicago Bulls,21500174,2015-11-18,CHI @ PHX,W,240,103,41,83,0.494,9,19.0,0.474,12,14,0.857,11.0,36.0,47.0,24,7.0,2.0,19.0,17,6.0,15.0,10.0
22015,1610612741,CHI,Chicago Bulls,21500187,2015-11-20,CHI @ GSW,L,239,94,35,88,0.39799999999999996,7,22.0,0.318,17,23,0.7390000000000001,15.0,28.0,43.0,22,11.0,2.0,12.0,19,-12.0,15.0,11.0
22015,1610612741,CHI,Chicago Bulls,21500213,2015-11-24,CHI @ POR,W,240,93,33,86,0.384,7,18.0,0.389,20,23,0.87,6.0,38.0,44.0,19,6.0,3.0,10.0,18,5.0,16.0,11.0
22015,1610612741,CHI,Chicago Bulls,21500231,2015-11-27,CHI @ IND,L,240,92,32,92,0.348,11,26.0,0.423,17,20,0.85,9.0,38.0,47.0,21,7.0,7.0,15.0,23,-12.0,16.0,12.0
22015,1610612741,CHI,Chicago Bulls,21500257,2015-11-30,CHI vs. SAS,W,240,92,37,86,0.43,6,16.0,0.375,12,20,0.6,12.0,39.0,51.0,25,4.0,6.0,10.0,21,3.0,17.0,12.0
22015,1610612741,CHI,Chicago Bulls,21500273,2015-12-02,CHI vs. DEN,W,240,99,36,89,0.40399999999999997,6,17.0,0.353,21,27,0.778,15.0,47.0,62.0,22,3.0,10.0,14.0,17,9.0,18.0,12.0
22015,1610612741,CHI,Chicago Bulls,21500292,2015-12-05,CHI vs. CHA,L,240,96,37,89,0.41600000000000004,9,25.0,0.36,13,19,0.684,12.0,40.0,52.0,29,5.0,5.0,14.0,19,-6.0,18.0,13.0
22015,1610612741,CHI,Chicago Bulls,21500309,2015-12-07,CHI vs. PHX,L,240,101,41,90,0.456,6,21.0,0.28600000000000003,13,18,0.722,16.0,32.0,48.0,28,11.0,8.0,20.0,19,-2.0,18.0,14.0
22015,1610612741,CHI,Chicago Bulls,21500319,2015-12-09,CHI @ BOS,L,241,100,39,91,0.429,6,21.0,0.28600000000000003,16,23,0.696,15.0,35.0,50.0,22,7.0,5.0,16.0,18,-5.0,18.0,15.0
22015,1610612741,CHI,Chicago Bulls,21500330,2015-12-10,CHI vs. LAC,W,240,83,31,87,0.35600000000000004,7,23.0,0.304,14,16,0.875,13.0,41.0,54.0,20,8.0,6.0,11.0,12,3.0,19.0,15.0
22015,1610612741,CHI,Chicago Bulls,21500348,2015-12-12,CHI vs. NOP,W,241,98,33,78,0.423,8,20.0,0.4,24,29,0.828,7.0,41.0,48.0,17,6.0,6.0,13.0,10,4.0,20.0,15.0
22015,1610612741,CHI,Chicago Bulls,21500361,2015-12-14,CHI vs. PHI,W,239,115,43,85,0.506,8,22.0,0.364,21,26,0.8079999999999999,10.0,43.0,53.0,28,7.0,8.0,13.0,15,19.0,21.0,15.0
22015,1610612741,CHI,Chicago Bulls,21500377,2015-12-16,CHI vs. MEM,W,240,98,38,86,0.442,9,24.0,0.375,13,19,0.684,9.0,36.0,45.0,22,5.0,6.0,14.0,17,13.0,22.0,15.0
22015,1610612741,CHI,Chicago Bulls,21500391,2015-12-18,CHI vs. DET,L,340,144,50,120,0.41700000000000004,5,22.0,0.22699999999999998,39,44,0.8859999999999999,20.0,42.0,62.0,21,5.0,9.0,16.0,35,-3.0,22.0,16.0
22015,1610612741,CHI,Chicago Bulls,21500400,2015-12-19,CHI @ NYK,L,241,91,37,94,0.39399999999999996,5,21.0,0.23800000000000002,12,17,0.706,18.0,29.0,47.0,17,7.0,1.0,13.0,20,-16.0,22.0,17.0
22015,1610612741,CHI,Chicago Bulls,21500414,2015-12-21,CHI vs. BKN,L,240,102,43,95,0.45299999999999996,9,26.0,0.34600000000000003,7,13,0.5379999999999999,15.0,30.0,45.0,32,8.0,8.0,13.0,15,-3.0,22.0,18.0
22015,1610612741,CHI,Chicago Bulls,21500437,2015-12-25,CHI @ OKC,W,240,105,40,92,0.435,7,18.0,0.389,18,20,0.9,16.0,37.0,53.0,22,8.0,6.0,16.0,19,9.0,23.0,18.0
22015,1610612741,CHI,Chicago Bulls,21500449,2015-12-26,CHI @ DAL,L,240,111,42,78,0.5379999999999999,8,21.0,0.381,19,26,0.731,13.0,28.0,41.0,20,7.0,7.0,17.0,23,-7.0,23.0,19.0
22015,1610612741,CHI,Chicago Bulls,21500463,2015-12-28,CHI vs. TOR,W,240,104,40,87,0.46,8,21.0,0.381,16,24,0.667,11.0,38.0,49.0,23,4.0,10.0,10.0,15,7.0,24.0,19.0
22015,1610612741,CHI,Chicago Bulls,21500478,2015-12-30,CHI vs. IND,W,265,102,37,86,0.43,6,18.0,0.33299999999999996,22,27,0.815,14.0,39.0,53.0,15,6.0,10.0,21.0,19,2.0,25.0,19.0
22015,1610612741,CHI,Chicago Bulls,21500493,2016-01-01,CHI vs. NYK,W,238,108,39,85,0.45899999999999996,10,16.0,0.625,20,25,0.8,14.0,40.0,54.0,27,4.0,9.0,7.0,19,27.0,26.0,19.0
22015,1610612741,CHI,Chicago Bulls,21500507,2016-01-03,CHI @ TOR,W,241,115,42,82,0.512,9,21.0,0.429,22,25,0.88,8.0,34.0,42.0,23,4.0,8.0,11.0,18,2.0,27.0,19.0
