SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,NUM_WINS,NUM_LOSSES
22015,1610612765,DET,Detroit Pistons,1421500002,2015-07-04,DET @ ORW,L,202,76,27,73,0.37,10,27,0.37,12,17,0.706,8.0,23.0,31.0,14,3,5,14,25,-11.0,0.0,1.0
22015,1610612765,DET,Detroit Pistons,1421500006,2015-07-05,DET vs. LAC,W,199,77,29,72,0.403,4,16,0.25,15,21,0.7140000000000001,13.0,30.0,43.0,16,10,1,13,20,8.0,1.0,1.0
22015,1610612765,DET,Detroit Pistons,1421500011,2015-07-06,DET @ MIA,L,201,73,25,58,0.431,9,20,0.45,14,18,0.778,4.0,29.0,33.0,13,7,5,14,26,-5.0,1.0,2.0
22015,1610612765,DET,Detroit Pistons,1421500016,2015-07-08,DET vs. IND,W,200,90,34,74,0.459,3,10,0.3,19,24,0.792,14.0,33.0,47.0,8,10,6,9,22,25.0,2.0,2.0
22015,1610612765,DET,Detroit Pistons,1421500022,2015-07-10,DET @ MIA,L,200,68,21,61,0.344,4,18,0.222,22,26,0.846,8.0,22.0,30.0,9,6,6,12,18,-23.0,2.0,3.0
12015,1610612765,DET,Detroit Pistons,11500014,2015-10-06,DET vs. IND,L,241,112,39,80,0.488,13,29,0.448,21,27,0.778,11.0,30.0,41.0,25,5,3,19,28,-3.0,2.0,4.0
12015,1610612765,DET,Detroit Pistons,11500029,2015-10-08,DET vs. BKN,L,240,83,34,83,0.41,7,22,0.318,8,11,0.727,11.0,32.0,43.0,19,11,4,21,24,-10.0,2.0,5.0
12015,1610612765,DET,Detroit Pistons,11500039,2015-10-10,DET @ MIL,W,240,117,38,76,0.5,12,30,0.4,29,43,0.674,10.0,32.0,42.0,25,8,7,9,21,29.0,3.0,5.0
12015,1610612765,DET,Detroit Pistons,11500052,2015-10-13,DET @ IND,L,241,97,35,90,0.389,8,19,0.421,19,22,0.8640000000000001,20.0,33.0,53.0,16,4,5,18,15,-4.0,3.0,6.0
12015,1610612765,DET,Detroit Pistons,11500057,2015-10-14,DET @ CHI,W,239,114,43,79,0.544,9,21,0.429,19,21,0.905,7.0,33.0,40.0,25,7,1,10,17,23.0,4.0,6.0
12015,1610612765,DET,Detroit Pistons,11500076,2015-10-18,DET @ SAS,L,241,92,33,84,0.393,8,25,0.32,18,21,0.857,7.0,30.0,37.0,19,12,5,12,16,-4.0,4.0,7.0
12015,1610612765,DET,Detroit Pistons,11500093,2015-10-21,DET vs. CHA,L,240,94,34,89,0.382,5,29,0.172,21,29,0.7240000000000001,9.0,38.0,47.0,21,10,4,11,24,-5.0,4.0,8.0
12015,1610612765,DET,Detroit Pistons,11500108,2015-10-23,DET vs. ATL,W,240,115,46,86,0.535,16,37,0.4320000000000001,7,8,0.875,10.0,31.0,41.0,32,9,4,14,21,28.0,5.0,8.0
22015,1610612765,DET,Detroit Pistons,21500001,2015-10-27,DET @ ATL,W,239,106,37,96,0.385,12,29,0.414,20,26,0.769,23.0,36.0,59.0,23,5,3,15,15,12.0,6.0,8.0
22015,1610612765,DET,Detroit Pistons,21500007,2015-10-28,DET vs. UTA,W,240,92,30,74,0.405,7,19,0.368,25,34,0.735,8.0,35.0,43.0,16,2,4,10,20,5.0,7.0,8.0
