SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,NUM_WINS,NUM_LOSSES
22015,1610612763,MEM,Memphis Grizzlies,1421500005,2015-07-04,MEM @ BKN,W,200,81,25,63,0.397,4,12,0.33299999999999996,27,33,0.818,10,25,35,14,9,1,13,23,8.0,1.0,0.0
22015,1610612763,MEM,Memphis Grizzlies,1421500007,2015-07-05,MEM @ CHA,W,200,79,28,66,0.424,5,18,0.278,18,24,0.75,11,25,36,17,12,0,15,22,4.0,2.0,0.0
22015,1610612763,MEM,Memphis Grizzlies,1421500012,2015-07-07,MEM vs. ORB,W,220,73,25,66,0.379,4,16,0.25,19,28,0.679,10,18,28,14,11,2,12,23,2.0,3.0,0.0
22015,1610612763,MEM,Memphis Grizzlies,1421500020,2015-07-09,MEM vs. OKC,W,198,87,28,61,0.45899999999999996,1,7,0.14300000000000002,30,33,0.909,12,25,37,13,9,2,19,21,6.0,4.0,0.0
22015,1610612763,MEM,Memphis Grizzlies,1421500023,2015-07-10,MEM @ ORW,W,219,75,27,65,0.415,6,18,0.33299999999999996,15,21,0.7140000000000001,6,26,32,14,7,4,14,27,0.0,5.0,0.0
12015,1610612763,MEM,Memphis Grizzlies,11500013,2015-10-06,MEM vs. HOU,W,241,92,30,77,0.39,7,19,0.368,25,29,0.862,8,39,47,16,6,5,23,28,3.0,6.0,0.0
12015,1610612763,MEM,Memphis Grizzlies,11500024,2015-10-08,MEM vs. MAC,W,239,97,33,71,0.465,5,17,0.294,26,35,0.743,10,36,46,21,8,9,23,23,13.0,7.0,0.0
12015,1610612763,MEM,Memphis Grizzlies,11500044,2015-10-12,MEM @ CLE,W,240,91,36,69,0.522,4,10,0.4,15,20,0.75,7,32,39,24,10,2,19,27,10.0,8.0,0.0
12015,1610612763,MEM,Memphis Grizzlies,11500065,2015-10-16,MEM vs. OKC,W,240,94,34,81,0.42,6,22,0.273,20,27,0.741,12,40,52,16,11,2,18,22,16.0,9.0,0.0
12015,1610612763,MEM,Memphis Grizzlies,11500077,2015-10-18,MEM vs. MIN,W,241,90,33,73,0.452,6,16,0.375,18,24,0.75,11,30,41,18,9,4,17,21,22.0,10.0,0.0
