SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,NUM_WINS,NUM_LOSSES
22015,1610612748,MIA,Miami Heat,1421500001,2015-07-04,MIA @ IND,W,202,92,30,66,0.455,7,18,0.389,25,32,0.7809999999999999,12,19,31,20,11,6,15,24,16.0,1.0,0.0
22015,1610612748,MIA,Miami Heat,1421500008,2015-07-05,MIA vs. BKN,W,199,71,26,67,0.388,1,18,0.056,18,27,0.667,13,23,36,16,12,6,18,19,1.0,2.0,0.0
22015,1610612748,MIA,Miami Heat,1421500011,2015-07-06,MIA vs. DET,W,201,78,28,70,0.4,6,16,0.375,16,26,0.615,11,23,34,14,7,2,8,20,5.0,3.0,0.0
22015,1610612748,MIA,Miami Heat,1421500017,2015-07-08,MIA vs. LAC,W,200,87,24,57,0.421,5,15,0.333,34,41,0.8290000000000001,9,26,35,13,4,8,20,24,1.6,4.0,0.0
22015,1610612748,MIA,Miami Heat,1421500022,2015-07-10,MIA vs. DET,W,200,91,33,72,0.458,9,22,0.409,16,19,0.8420000000000001,13,27,40,18,7,3,11,21,23.0,5.0,0.0
22015,1610612748,MIA,Miami Heat,1521500014,2015-07-11,MIA @ UTA,W,198,82,30,77,0.39,3,16,0.188,19,24,0.792,17,28,45,12,4,4,11,30,2.6,6.0,0.0
22015,1610612748,MIA,Miami Heat,1521500027,2015-07-13,MIA @ DEN,L,200,83,32,67,0.478,7,19,0.368,12,14,0.857,9,24,33,15,6,5,12,26,-3.0,6.0,1.0
22015,1610612748,MIA,Miami Heat,1521500035,2015-07-14,MIA @ BOS,L,200,69,24,69,0.348,8,23,0.348,13,19,0.684,12,24,36,12,4,5,15,27,-32.0,6.0,2.0
22015,1610612748,MIA,Miami Heat,1521500039,2015-07-15,MIA @ ATL,L,200,64,23,65,0.354,3,16,0.188,15,23,0.652,10,17,27,9,12,1,16,24,-11.0,6.0,3.0
22015,1610612748,MIA,Miami Heat,1521500054,2015-07-17,MIA vs. SAC,L,210,68,23,67,0.343,7,29,0.241,15,18,0.833,9,30,39,14,13,5,22,28,-5.0,6.0,4.0
12015,1610612748,MIA,Miami Heat,11500006,2015-10-04,MIA vs. CHA,L,240,77,30,81,0.37,3,16,0.188,14,20,0.7,9,39,48,19,9,4,14,24,-13.0,6.0,5.0
12015,1610612748,MIA,Miami Heat,11500022,2015-10-07,MIA vs. ORL,L,239,97,30,68,0.441,8,19,0.421,29,38,0.763,11,28,39,22,6,4,20,24,-3.0,6.0,6.0
12015,1610612748,MIA,Miami Heat,11500049,2015-10-12,MIA vs. SAS,W,240,97,33,86,0.384,5,24,0.208,26,29,0.897,13,36,49,17,8,3,13,20,3.0,7.0,6.0
12015,1610612748,MIA,Miami Heat,11500050,2015-10-13,MIA @ ORL,L,265,92,35,91,0.385,6,31,0.194,16,25,0.64,13,44,57,19,8,5,17,19,-3.0,7.0,7.0
12015,1610612748,MIA,Miami Heat,11500072,2015-10-17,MIA @ HOU,W,241,105,39,74,0.527,8,22,0.364,19,35,0.5429999999999999,9,37,46,20,7,7,21,19,5.0,8.0,7.0
12015,1610612748,MIA,Miami Heat,11500081,2015-10-18,MIA @ ATL,W,240,101,36,92,0.391,10,30,0.333,19,25,0.76,15,29,44,26,8,2,13,16,9.0,9.0,7.0
12015,1610612748,MIA,Miami Heat,11500096,2015-10-21,MIA vs. WAS,W,239,110,38,93,0.409,8,24,0.333,26,33,0.7879999999999999,10,39,49,24,8,7,9,19,5.0,10.0,7.0
12015,1610612748,MIA,Miami Heat,11500104,2015-10-23,MIA @ NOP,L,241,90,30,72,0.417,5,14,0.35700000000000004,25,32,0.7809999999999999,7,38,45,15,4,7,16,22,-3.0,10.0,8.0
22015,1610612748,MIA,Miami Heat,21500008,2015-10-28,MIA vs. CHA,W,239,104,36,73,0.493,12,20,0.6,20,21,0.952,2,39,41,23,5,7,13,25,10.0,11.0,8.0
22015,1610612748,MIA,Miami Heat,21500021,2015-10-30,MIA @ CLE,L,238,92,33,77,0.429,6,21,0.28600000000000003,20,22,0.909,6,32,38,21,5,7,13,20,-10.0,11.0,9.0
22015,1610612748,MIA,Miami Heat,21500041,2015-11-01,MIA vs. HOU,W,241,109,42,86,0.488,9,22,0.409,16,21,0.762,11,37,48,24,11,5,12,16,20.0,12.0,9.0
22015,1610612748,MIA,Miami Heat,21500055,2015-11-03,MIA vs. ATL,L,240,92,38,86,0.442,5,28,0.179,11,16,0.688,13,36,49,13,10,9,18,21,-6.0,12.0,10.0
22015,1610612748,MIA,Miami Heat,21500071,2015-11-05,MIA @ MIN,W,239,96,37,76,0.487,4,14,0.28600000000000003,18,25,0.72,7,35,42,14,6,6,16,19,12.0,13.0,10.0
22015,1610612748,MIA,Miami Heat,21500080,2015-11-06,MIA @ IND,L,241,87,36,81,0.444,6,20,0.3,9,13,0.6920000000000001,7,33,40,21,5,6,11,19,-3.0,13.0,11.0
22015,1610612748,MIA,Miami Heat,21500096,2015-11-08,MIA vs. TOR,W,239,96,35,83,0.422,8,20,0.4,18,25,0.72,13,35,48,18,8,8,10,20,20.0,14.0,11.0
22015,1610612748,MIA,Miami Heat,21500108,2015-11-10,MIA vs. LAL,W,240,101,38,84,0.452,5,20,0.25,20,27,0.741,15,32,47,23,7,7,10,12,13.0,15.0,11.0
22015,1610612748,MIA,Miami Heat,21500124,2015-11-12,MIA vs. UTA,W,239,92,36,77,0.468,4,13,0.308,16,25,0.64,8,39,47,14,6,11,15,20,1.0,16.0,11.0
22015,1610612748,MIA,Miami Heat,21500161,2015-11-17,MIA vs. MIN,L,240,91,36,79,0.456,5,24,0.208,14,30,0.467,10,41,51,20,3,12,22,26,-12.0,16.0,12.0
22015,1610612748,MIA,Miami Heat,21500175,2015-11-19,MIA vs. SAC,W,240,116,42,89,0.472,7,24,0.292,25,33,0.758,12,29,41,25,11,7,7,15,7.0,17.0,12.0
22015,1610612748,MIA,Miami Heat,21500193,2015-11-21,MIA vs. PHI,W,238,96,30,69,0.435,5,18,0.278,31,45,0.6890000000000001,9,36,45,16,7,14,16,19,5.0,18.0,12.0
22015,1610612748,MIA,Miami Heat,21500204,2015-11-23,MIA vs. NYK,W,241,95,31,81,0.383,5,19,0.263,28,36,0.778,16,40,56,18,8,7,9,19,17.0,19.0,12.0
22015,1610612748,MIA,Miami Heat,21500218,2015-11-25,MIA @ DET,L,239,81,32,79,0.405,6,20,0.3,11,16,0.688,10,33,43,21,2,7,13,14,-23.0,19.0,13.0
22015,1610612748,MIA,Miami Heat,21500230,2015-11-27,MIA @ NYK,W,240,97,33,76,0.434,7,17,0.412,24,28,0.857,8,34,42,16,4,7,12,13,19.0,20.0,13.0
22015,1610612748,MIA,Miami Heat,21500255,2015-11-30,MIA vs. BOS,L,240,95,36,75,0.48,5,17,0.294,18,24,0.75,11,27,38,21,9,6,18,19,-10.0,20.0,14.0
22015,1610612748,MIA,Miami Heat,21500277,2015-12-03,MIA vs. OKC,W,240,97,40,81,0.494,3,13,0.231,14,24,0.583,6,29,35,25,10,3,9,14,2.0,21.0,14.0
22015,1610612748,MIA,Miami Heat,21500291,2015-12-05,MIA vs. CLE,W,242,99,37,68,0.544,7,16,0.438,18,29,0.621,3,38,41,21,5,9,15,25,15.0,22.0,14.0
22015,1610612748,MIA,Miami Heat,21500306,2015-12-07,MIA vs. WAS,L,240,103,41,69,0.594,5,16,0.313,16,22,0.727,4,30,34,25,5,6,16,18,-11.0,22.0,15.0
22015,1610612748,MIA,Miami Heat,21500320,2015-12-09,MIA @ CHA,L,239,81,29,75,0.387,6,21,0.28600000000000003,17,24,0.708,7,36,43,17,3,8,17,14,-18.0,22.0,16.0
