SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,NUM_WINS,NUM_LOSSES
22015,1610612740,NOP,New Orleans Pelicans,1521500001,2015-07-10,NOP vs. MIL,W,201,101,38,69,0.551,11,29,0.379,14,21,0.667,6,24,30,21,11,2,16,29,11.0,1.0,0.0
22015,1610612740,NOP,New Orleans Pelicans,1521500007,2015-07-11,NOP @ DAL,W,199,90,31,77,0.40299999999999997,7,26,0.26899999999999996,21,24,0.875,7,29,36,12,12,5,10,18,4.0,2.0,0.0
22015,1610612740,NOP,New Orleans Pelicans,1521500024,2015-07-13,NOP @ BKN,W,200,89,31,64,0.484,10,24,0.41700000000000004,17,25,0.68,7,28,35,23,13,6,14,26,6.0,3.0,0.0
22015,1610612740,NOP,New Orleans Pelicans,1521500049,2015-07-16,NOP vs. WAS,W,200,97,39,77,0.506,4,21,0.19,15,18,0.833,12,27,39,13,10,8,11,15,16.0,4.0,0.0
22015,1610612740,NOP,New Orleans Pelicans,1521500064,2015-07-18,NOP vs. GSW,W,199,100,36,71,0.507,6,14,0.429,22,31,0.71,6,30,36,17,9,9,9,18,9.0,5.0,0.0
22015,1610612740,NOP,New Orleans Pelicans,1521500066,2015-07-19,NOP vs. PHX,L,200,87,30,70,0.429,8,23,0.348,19,24,0.792,8,22,30,16,6,4,13,17,-6.0,5.0,1.0
12015,1610612740,NOP,New Orleans Pelicans,11500003,2015-10-03,NOP @ IND,W,242,110,37,103,0.359,11,32,0.344,25,37,0.6759999999999999,19,36,55,16,9,3,11,22,5.0,6.0,1.0
12015,1610612740,NOP,New Orleans Pelicans,11500032,2015-10-09,NOP vs. ATL,L,238,93,32,84,0.381,7,27,0.259,22,31,0.71,6,38,44,15,8,7,13,26,-10.0,6.0,2.0
12015,1610612740,NOP,New Orleans Pelicans,11500045,2015-10-12,NOP @ CHI,W,239,123,42,87,0.483,11,25,0.44,28,37,0.757,9,31,40,22,11,3,7,18,8.0,7.0,2.0
12015,1610612740,NOP,New Orleans Pelicans,11500071,2015-10-17,NOP vs. SAC,L,239,98,34,79,0.43,8,26,0.308,22,27,0.815,7,38,45,16,9,4,18,27,-9.0,7.0,3.0
12015,1610612740,NOP,New Orleans Pelicans,11500084,2015-10-19,NOP @ HOU,L,239,100,37,90,0.41100000000000003,8,25,0.32,18,24,0.75,12,31,43,18,10,2,17,22,-20.0,7.0,4.0
12015,1610612740,NOP,New Orleans Pelicans,11500092,2015-10-21,NOP @ ORL,L,265,107,28,74,0.37799999999999995,8,25,0.32,43,51,0.843,5,40,45,10,12,7,22,31,-3.0,7.0,5.0
12015,1610612740,NOP,New Orleans Pelicans,11500104,2015-10-23,NOP vs. MIA,W,240,93,27,81,0.33299999999999996,13,28,0.46399999999999997,26,32,0.813,11,33,44,18,5,5,14,28,3.0,8.0,5.0
22015,1610612740,NOP,New Orleans Pelicans,21500003,2015-10-27,NOP @ GSW,L,241,95,35,83,0.42200000000000004,6,18,0.33299999999999996,19,27,0.7040000000000001,8,25,33,21,9,3,18,26,-16.0,8.0,6.0
22015,1610612740,NOP,New Orleans Pelicans,21500015,2015-10-28,NOP @ POR,L,240,94,36,91,0.396,11,33,0.33299999999999996,11,18,0.611,5,34,39,19,7,2,11,17,-18.0,8.0,7.0
22015,1610612740,NOP,New Orleans Pelicans,21500035,2015-10-31,NOP vs. GSW,L,238,120,46,100,0.46,8,22,0.364,20,23,0.87,16,32,48,22,4,4,15,23,-14.0,8.0,8.0
22015,1610612740,NOP,New Orleans Pelicans,21500056,2015-11-03,NOP vs. ORL,L,240,94,32,90,0.35600000000000004,12,36,0.33299999999999996,18,25,0.72,10,36,46,23,12,9,14,14,-9.0,8.0,9.0
22015,1610612740,NOP,New Orleans Pelicans,21500081,2015-11-06,NOP vs. ATL,L,240,115,42,84,0.5,10,30,0.33299999999999996,21,24,0.875,6,26,32,30,9,7,12,24,-6.0,8.0,10.0
22015,1610612740,NOP,New Orleans Pelicans,21500088,2015-11-07,NOP @ DAL,L,239,98,39,86,0.45299999999999996,9,28,0.321,11,13,0.846,7,35,42,21,7,6,12,24,-9.0,8.0,11.0
22015,1610612740,NOP,New Orleans Pelicans,21500112,2015-11-10,NOP vs. DAL,W,238,120,46,92,0.5,14,33,0.424,14,18,0.778,9,39,48,25,9,5,11,27,15.0,9.0,11.0
22015,1610612740,NOP,New Orleans Pelicans,21500117,2015-11-11,NOP @ ATL,L,242,98,37,83,0.446,14,29,0.483,10,15,0.667,8,32,40,21,6,0,19,21,-8.0,9.0,12.0
22015,1610612740,NOP,New Orleans Pelicans,21500131,2015-11-13,NOP @ TOR,L,239,81,30,82,0.366,7,23,0.304,14,20,0.7,10,28,38,15,10,4,14,22,-19.0,9.0,13.0
22015,1610612740,NOP,New Orleans Pelicans,21500145,2015-11-15,NOP @ NYK,L,241,87,32,71,0.451,6,21,0.28600000000000003,17,19,0.895,4,32,36,16,5,5,18,22,-8.0,9.0,14.0
22015,1610612740,NOP,New Orleans Pelicans,21500163,2015-11-17,NOP vs. DEN,L,240,98,41,83,0.494,7,23,0.304,9,11,0.818,8,25,33,25,4,8,9,17,-17.0,9.0,15.0
22015,1610612740,NOP,New Orleans Pelicans,21500171,2015-11-18,NOP @ OKC,L,241,103,43,95,0.45299999999999996,8,32,0.25,9,9,1.0,10,30,40,21,8,4,11,25,-7.0,9.0,16.0
22015,1610612740,NOP,New Orleans Pelicans,21500182,2015-11-20,NOP vs. SAS,W,239,104,40,88,0.455,8,22,0.364,16,17,0.941,7,46,53,26,3,3,9,17,14.0,10.0,16.0
22015,1610612740,NOP,New Orleans Pelicans,21500198,2015-11-22,NOP vs. PHX,W,239,122,39,85,0.45899999999999996,11,30,0.3670000000000001,33,40,0.825,10,39,49,23,11,6,14,26,6.0,11.0,16.0
22015,1610612740,NOP,New Orleans Pelicans,21500225,2015-11-25,NOP @ PHX,W,240,120,42,81,0.519,10,22,0.455,26,34,0.765,5,37,42,20,4,6,14,23,6.0,12.0,16.0
22015,1610612740,NOP,New Orleans Pelicans,21500238,2015-11-27,NOP @ LAC,L,240,90,34,94,0.36200000000000004,5,20,0.25,17,23,0.7390000000000001,15,35,50,20,8,1,12,23,-21.0,12.0,17.0
22015,1610612740,NOP,New Orleans Pelicans,21500243,2015-11-28,NOP @ UTA,L,239,87,29,69,0.42,5,17,0.294,24,30,0.8,4,31,35,19,8,4,16,19,-14.0,12.0,18.0
22015,1610612740,NOP,New Orleans Pelicans,21500266,2015-12-01,NOP vs. MEM,L,240,104,35,81,0.4320000000000001,9,27,0.33299999999999996,25,33,0.758,9,28,37,25,3,11,8,21,-9.0,12.0,19.0
22015,1610612740,NOP,New Orleans Pelicans,21500274,2015-12-02,NOP @ HOU,L,238,101,36,88,0.409,7,25,0.28,22,25,0.88,16,40,56,20,5,6,23,32,-7.0,12.0,20.0
22015,1610612740,NOP,New Orleans Pelicans,21500288,2015-12-04,NOP vs. CLE,W,265,114,42,85,0.494,9,25,0.36,21,31,0.677,11,35,46,25,10,2,15,25,6.0,13.0,20.0
22015,1610612740,NOP,New Orleans Pelicans,21500312,2015-12-07,NOP vs. BOS,L,241,93,37,90,0.41100000000000003,4,13,0.308,15,18,0.833,13,31,44,21,8,6,14,17,-18.0,13.0,21.0
22015,1610612740,NOP,New Orleans Pelicans,21500339,2015-12-11,NOP vs. WAS,W,240,107,39,79,0.494,16,27,0.593,13,18,0.722,7,34,41,21,9,0,16,18,2.0,14.0,21.0
22015,1610612740,NOP,New Orleans Pelicans,21500348,2015-12-12,NOP @ CHI,L,240,94,40,89,0.449,6,16,0.375,8,11,0.727,5,36,41,26,9,6,10,22,-4.0,14.0,22.0
22015,1610612740,NOP,New Orleans Pelicans,21500366,2015-12-14,NOP @ POR,L,238,101,36,82,0.439,8,25,0.32,21,27,0.778,5,36,41,15,9,9,9,22,-4.0,14.0,23.0
22015,1610612740,NOP,New Orleans Pelicans,21500380,2015-12-16,NOP @ UTA,W,240,104,34,73,0.466,10,21,0.47600000000000003,26,28,0.929,8,28,36,14,9,2,10,24,10.0,15.0,23.0
22015,1610612740,NOP,New Orleans Pelicans,21500396,2015-12-18,NOP @ PHX,L,240,88,26,71,0.366,4,22,0.182,32,38,0.8420000000000001,10,26,36,13,8,7,21,23,-16.0,15.0,24.0
22015,1610612740,NOP,New Orleans Pelicans,21500409,2015-12-20,NOP @ DEN,W,242,130,44,78,0.564,11,24,0.45799999999999996,31,39,0.795,7,29,36,24,4,11,10,22,5.0,16.0,24.0
22015,1610612740,NOP,New Orleans Pelicans,21500432,2015-12-23,NOP vs. POR,W,241,115,41,85,0.48200000000000004,13,31,0.419,20,23,0.87,8,41,49,27,5,8,11,17,26.0,17.0,24.0
22015,1610612740,NOP,New Orleans Pelicans,21500436,2015-12-25,NOP @ MIA,L,264,88,36,90,0.4,6,20,0.3,10,11,0.909,7,38,45,19,10,3,17,20,-6.0,17.0,25.0
22015,1610612740,NOP,New Orleans Pelicans,21500445,2015-12-26,NOP vs. HOU,W,241,110,38,75,0.507,13,24,0.542,21,26,0.8079999999999999,8,32,40,25,5,8,15,17,2.0,18.0,25.0
22015,1610612740,NOP,New Orleans Pelicans,21500460,2015-12-28,NOP @ ORL,L,240,89,37,83,0.446,5,20,0.25,10,15,0.667,10,32,42,23,5,5,13,15,-15.0,18.0,26.0
22015,1610612740,NOP,New Orleans Pelicans,21500487,2015-12-31,NOP vs. LAC,L,240,89,36,82,0.439,7,25,0.28,10,15,0.667,5,37,42,21,6,3,15,22,-6.0,18.0,27.0
22015,1610612740,NOP,New Orleans Pelicans,21500501,2016-01-02,NOP @ DAL,W,240,105,40,83,0.48200000000000004,6,20,0.3,19,24,0.792,9,44,53,19,8,2,19,19,7.0,19.0,27.0
22015,1610612740,NOP,New Orleans Pelicans,21500531,2016-01-06,NOP vs. DAL,L,240,91,34,92,0.37,7,30,0.233,16,20,0.8,15,36,51,22,7,5,10,18,-9.0,19.0,28.0
22015,1610612740,NOP,New Orleans Pelicans,21500544,2016-01-08,NOP vs. IND,L,240,86,31,83,0.373,9,29,0.31,15,20,0.75,8,29,37,21,21,5,15,18,-5.0,19.0,29.0
22015,1610612740,NOP,New Orleans Pelicans,21500558,2016-01-10,NOP @ LAC,L,264,111,40,100,0.4,8,30,0.267,23,29,0.7929999999999999,15,41,56,20,8,2,14,24,-3.0,19.0,30.0
22015,1610612740,NOP,New Orleans Pelicans,21500576,2016-01-12,NOP @ LAL,L,239,91,38,91,0.418,6,23,0.261,9,14,0.643,12,39,51,20,2,6,11,27,-4.0,19.0,31.0
22015,1610612740,NOP,New Orleans Pelicans,21500585,2016-01-13,NOP @ SAC,W,240,109,42,100,0.42,16,33,0.485,9,11,0.818,13,32,45,27,10,3,7,18,12.0,20.0,31.0
22015,1610612740,NOP,New Orleans Pelicans,21500598,2016-01-15,NOP vs. CHA,W,239,109,43,87,0.494,12,27,0.444,11,13,0.846,8,30,38,29,7,7,8,15,2.0,21.0,31.0
22015,1610612740,NOP,New Orleans Pelicans,21500618,2016-01-18,NOP @ MEM,L,240,99,36,74,0.486,6,19,0.316,21,23,0.9129999999999999,6,28,34,19,8,5,15,22,-2.0,21.0,32.0
22015,1610612740,NOP,New Orleans Pelicans,21500626,2016-01-19,NOP vs. MIN,W,240,114,42,83,0.506,10,23,0.435,20,23,0.87,12,28,40,21,9,6,15,24,15.0,22.0,32.0
22015,1610612740,NOP,New Orleans Pelicans,21500641,2016-01-21,NOP vs. DET,W,242,115,46,86,0.535,5,12,0.41700000000000004,18,18,1.0,11,33,44,26,8,5,9,17,16.0,23.0,32.0
22015,1610612740,NOP,New Orleans Pelicans,21500657,2016-01-23,NOP vs. MIL,W,241,116,43,94,0.457,17,31,0.5479999999999999,13,17,0.765,12,29,41,33,10,4,8,17,17.0,24.0,32.0
22015,1610612740,NOP,New Orleans Pelicans,21500671,2016-01-25,NOP vs. HOU,L,240,111,42,91,0.462,13,29,0.44799999999999995,14,25,0.56,16,34,50,23,8,4,12,16,-1.0,24.0,33.0
