SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,NUM_WINS,NUM_LOSSES
22015,1610612760,OKC,Oklahoma City Thunder,1421500004,2015-07-04,OKC vs. CHA,W,200,76,28,66,0.424,6,19,0.316,14,23,0.609,12,30,42,20,7,2,17,20,2.0,1.0,0.0
22015,1610612760,OKC,Oklahoma City Thunder,1421500010,2015-07-06,OKC vs. ORB,W,201,73,28,65,0.431,1,12,0.083,16,24,0.667,11,28,39,15,10,0,16,24,8.0,2.0,0.0
22015,1610612760,OKC,Oklahoma City Thunder,1421500014,2015-07-07,OKC @ LAC,L,199,63,25,69,0.36200000000000004,3,16,0.188,10,17,0.588,13,23,36,11,4,3,21,22,-17.0,2.0,1.0
22015,1610612760,OKC,Oklahoma City Thunder,1421500020,2015-07-09,OKC @ MEM,L,200,81,33,75,0.44,5,20,0.25,10,19,0.526,15,15,30,15,11,5,15,33,-6.0,2.0,2.0
22015,1610612760,OKC,Oklahoma City Thunder,1421500021,2015-07-10,OKC vs. LAC,W,220,101,36,74,0.486,7,20,0.35,22,25,0.88,9,25,34,23,6,7,17,22,0.0,3.0,2.0
12015,1610612760,OKC,Oklahoma City Thunder,11500018,2015-10-07,OKC @ MIN,W,239,122,50,90,0.556,11,22,0.5,11,15,0.733,14,31,45,34,6,7,17,21,23.0,4.0,2.0
12015,1610612760,OKC,Oklahoma City Thunder,11500034,2015-10-09,OKC vs. FEN,W,241,111,38,76,0.5,9,21,0.429,26,34,0.765,8,35,43,20,14,7,15,14,30.0,5.0,2.0
12015,1610612760,OKC,Oklahoma City Thunder,11500053,2015-10-13,OKC vs. DAL,W,240,100,40,87,0.46,11,21,0.524,9,17,0.529,11,43,54,20,8,1,21,27,12.0,6.0,2.0
12015,1610612760,OKC,Oklahoma City Thunder,11500065,2015-10-16,OKC @ MEM,L,240,78,29,79,0.3670000000000001,7,36,0.19399999999999998,13,18,0.722,10,31,41,19,9,8,18,24,-16.0,6.0,3.0
12015,1610612760,OKC,Oklahoma City Thunder,11500079,2015-10-18,OKC vs. DEN,W,240,111,41,79,0.519,5,23,0.217,24,32,0.75,14,35,49,25,4,3,16,24,13.0,7.0,3.0
12015,1610612760,OKC,Oklahoma City Thunder,11500089,2015-10-20,OKC @ UTA,W,241,113,45,79,0.57,12,24,0.5,11,19,0.579,8,34,42,21,6,10,21,25,11.0,8.0,3.0
22015,1610612760,OKC,Oklahoma City Thunder,21500013,2015-10-28,OKC vs. SAS,W,241,112,42,86,0.488,7,19,0.368,21,22,0.955,11,34,45,21,7,4,19,19,6.0,9.0,3.0
22015,1610612760,OKC,Oklahoma City Thunder,21500022,2015-10-30,OKC @ ORL,W,292,139,50,110,0.455,8,27,0.29600000000000004,31,38,0.816,22,40,62,19,8,9,20,28,3.0,10.0,3.0
22015,1610612760,OKC,Oklahoma City Thunder,21500044,2015-11-01,OKC vs. DEN,W,240,117,45,86,0.523,13,25,0.52,14,18,0.778,13,37,50,32,9,10,19,23,24.0,11.0,3.0
22015,1610612760,OKC,Oklahoma City Thunder,21500049,2015-11-02,OKC @ HOU,L,239,105,40,84,0.47600000000000003,10,23,0.435,15,22,0.682,14,41,55,17,7,9,24,24,-5.0,11.0,4.0
22015,1610612760,OKC,Oklahoma City Thunder,21500066,2015-11-04,OKC vs. TOR,L,241,98,39,82,0.47600000000000003,8,23,0.348,12,14,0.857,11,30,41,26,8,10,19,29,-5.0,11.0,5.0
22015,1610612760,OKC,Oklahoma City Thunder,21500070,2015-11-05,OKC @ CHI,L,241,98,38,84,0.452,5,13,0.385,17,20,0.85,9,35,44,21,2,8,9,18,-6.0,11.0,6.0
22015,1610612760,OKC,Oklahoma City Thunder,21500097,2015-11-08,OKC vs. PHX,W,241,124,49,94,0.521,4,20,0.2,22,30,0.733,17,35,52,26,14,8,15,25,21.0,12.0,6.0
22015,1610612760,OKC,Oklahoma City Thunder,21500107,2015-11-10,OKC @ WAS,W,240,125,44,86,0.512,15,23,0.652,22,29,0.759,10,43,53,27,4,2,12,22,24.0,13.0,6.0
22015,1610612760,OKC,Oklahoma City Thunder,21500134,2015-11-13,OKC vs. PHI,W,240,102,39,97,0.402,8,25,0.32,16,21,0.762,16,39,55,20,9,13,13,19,17.0,14.0,6.0
22015,1610612760,OKC,Oklahoma City Thunder,21500149,2015-11-15,OKC vs. BOS,L,240,85,28,77,0.364,6,25,0.24,23,29,0.7929999999999999,10,24,34,18,10,6,18,20,-15.0,14.0,7.0
22015,1610612760,OKC,Oklahoma City Thunder,21500155,2015-11-16,OKC @ MEM,L,242,114,41,81,0.506,10,24,0.41700000000000004,22,31,0.71,12,32,44,22,7,6,19,28,-8.0,14.0,8.0
22015,1610612760,OKC,Oklahoma City Thunder,21500171,2015-11-18,OKC vs. NOP,W,240,110,38,85,0.447,7,17,0.41200000000000003,27,40,0.675,16,34,50,19,6,4,14,16,7.0,15.0,8.0
22015,1610612760,OKC,Oklahoma City Thunder,21500183,2015-11-20,OKC vs. NYK,L,240,90,35,92,0.38,3,29,0.10300000000000001,17,23,0.7390000000000001,21,28,49,12,9,4,14,19,-3.0,15.0,9.0
22015,1610612760,OKC,Oklahoma City Thunder,21500199,2015-11-22,OKC vs. DAL,W,241,117,47,90,0.522,9,22,0.409,14,18,0.778,14,27,41,25,8,6,16,23,3.0,16.0,9.0
22015,1610612760,OKC,Oklahoma City Thunder,21500208,2015-11-23,OKC @ UTA,W,240,111,42,77,0.545,11,27,0.40700000000000003,16,18,0.889,6,30,36,22,12,10,16,31,22.0,17.0,9.0
22015,1610612760,OKC,Oklahoma City Thunder,21500223,2015-11-25,OKC vs. BKN,W,240,110,41,78,0.526,10,24,0.41700000000000004,18,21,0.857,4,38,42,26,11,7,19,11,11.0,18.0,9.0
22015,1610612760,OKC,Oklahoma City Thunder,21500234,2015-11-27,OKC vs. DET,W,241,103,37,79,0.46799999999999997,7,24,0.292,22,26,0.846,12,46,58,19,2,9,18,19,16.0,19.0,9.0
22015,1610612760,OKC,Oklahoma City Thunder,21500256,2015-11-30,OKC @ ATL,L,240,100,37,93,0.39799999999999996,7,19,0.368,19,22,0.8640000000000001,13,35,48,19,8,8,11,19,-6.0,19.0,10.0
22015,1610612760,OKC,Oklahoma City Thunder,21500277,2015-12-03,OKC @ MIA,L,238,95,35,79,0.44299999999999995,4,16,0.25,21,24,0.875,9,35,44,15,5,1,15,18,-2.0,19.0,11.0
22015,1610612760,OKC,Oklahoma City Thunder,21500303,2015-12-06,OKC vs. SAC,W,241,98,35,86,0.40700000000000003,6,22,0.273,22,31,0.71,19,43,62,18,8,6,21,22,3.0,20.0,11.0
22015,1610612760,OKC,Oklahoma City Thunder,21500316,2015-12-08,OKC @ MEM,W,240,125,47,84,0.56,13,26,0.5,18,23,0.7829999999999999,10,36,46,31,11,3,12,17,37.0,21.0,11.0
22015,1610612760,OKC,Oklahoma City Thunder,21500331,2015-12-10,OKC vs. ATL,W,241,107,39,80,0.488,9,17,0.529,20,26,0.769,10,42,52,24,6,2,14,16,13.0,22.0,11.0
22015,1610612760,OKC,Oklahoma City Thunder,21500341,2015-12-11,OKC @ UTA,W,240,94,37,79,0.46799999999999997,6,17,0.353,14,16,0.875,11,34,45,14,4,2,13,19,4.0,23.0,11.0
22015,1610612760,OKC,Oklahoma City Thunder,21500356,2015-12-13,OKC vs. UTA,W,264,104,35,79,0.44299999999999995,7,21,0.33299999999999996,27,30,0.9,8,34,42,18,7,13,10,18,6.0,24.0,11.0
