SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,NUM_WINS,NUM_LOSSES
22015,1610612755,PHI,Philadelphia 76ers,1621500001,2015-07-06,PHI @ SAS,L,200,71,27,80,0.338,4,21,0.19,13,25,0.52,15,33,48,7,6.0,6,16,23,-0.6,0.0,1.0
22015,1610612755,PHI,Philadelphia 76ers,1621500003,2015-07-07,PHI vs. BOS,W,199,76,28,68,0.412,6,21,0.28600000000000003,14,22,0.636,12,43,55,13,4.0,7,18,26,14.0,1.0,1.0
22015,1610612755,PHI,Philadelphia 76ers,1621500006,2015-07-09,PHI @ UTA,L,209,78,27,61,0.443,5,21,0.238,19,27,0.7040000000000001,8,33,41,8,5.0,6,25,31,-6.0,1.0,2.0
22015,1610612755,PHI,Philadelphia 76ers,1521500012,2015-07-11,PHI vs. LAL,L,200,60,20,70,0.28600000000000003,8,25,0.32,12,20,0.6,12,26,38,12,6.0,2,14,22,-8.0,1.0,3.0
22015,1610612755,PHI,Philadelphia 76ers,1521500022,2015-07-12,PHI @ BOS,L,201,76,26,74,0.35100000000000003,8,19,0.421,16,20,0.8,10,32,42,12,8.0,5,15,29,-9.2,1.0,4.0
22015,1610612755,PHI,Philadelphia 76ers,1521500034,2015-07-14,PHI vs. NYK,L,210,81,29,67,0.433,9,21,0.429,14,23,0.609,12,22,34,14,5.0,3,17,24,-3.0,1.0,5.0
22015,1610612755,PHI,Philadelphia 76ers,1521500038,2015-07-15,PHI @ BKN,L,200,68,26,69,0.377,2,16,0.125,14,23,0.609,8,30,38,13,12.0,4,16,30,-8.8,1.0,6.0
22015,1610612755,PHI,Philadelphia 76ers,1521500053,2015-07-17,PHI @ HOU,W,199,100,37,76,0.487,8,24,0.333,18,29,0.621,15,35,50,17,7.0,9,24,33,4.0,2.0,6.0
12015,1610612755,PHI,Philadelphia 76ers,11500011,2015-10-06,PHI @ WAS,L,241,95,37,82,0.451,9,30,0.3,12,18,0.667,6,36,42,22,6.0,8,23,20,-34.0,2.0,7.0
12015,1610612755,PHI,Philadelphia 76ers,11500023,2015-10-08,PHI vs. CLE,W,240,115,37,83,0.446,12,33,0.364,29,41,0.7070000000000001,15,27,42,22,11.0,3,18,26,1.0,3.0,7.0
12015,1610612755,PHI,Philadelphia 76ers,11500036,2015-10-10,PHI vs. BKN,W,240,97,33,83,0.398,10,36,0.278,21,30,0.7,10,39,49,25,12.0,7,15,29,2.0,4.0,7.0
12015,1610612755,PHI,Philadelphia 76ers,11500047,2015-10-12,PHI @ NYK,L,240,88,29,81,0.358,8,39,0.205,22,37,0.595,15,33,48,12,12.0,6,20,27,-6.0,4.0,8.0
