SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,NUM_WINS,NUM_LOSSES
22015,1610612764,WAS,Washington Wizards,1521500009,2015-07-11,WAS @ PHX,L,201,77,29,71,0.408,3,22,0.136,16,24,0.667,13.0,29.0,42.0,10,8,2,18,25,-9.0,0.0,1.0
22015,1610612764,WAS,Washington Wizards,1521500015,2015-07-12,WAS @ DLS,L,201,74,18,72,0.25,1,17,0.059,37,44,0.841,20.0,23.0,43.0,6,11,1,14,20,-20.0,0.0,2.0
22015,1610612764,WAS,Washington Wizards,1521500032,2015-07-14,WAS @ DAL,W,200,85,33,70,0.471,2,13,0.154,17,29,0.586,17.0,31.0,48.0,17,6,6,20,23,6.0,1.0,2.0
22015,1610612764,WAS,Washington Wizards,1521500041,2015-07-15,WAS @ UTA,W,201,86,30,70,0.429,5,20,0.25,21,27,0.778,8.0,33.0,41.0,18,8,2,16,29,8.0,2.0,2.0
22015,1610612764,WAS,Washington Wizards,1521500049,2015-07-16,WAS @ NOP,L,199,81,33,75,0.44,4,19,0.211,11,13,0.846,11.0,25.0,36.0,18,11,3,18,19,-16.0,2.0,3.0
22015,1610612764,WAS,Washington Wizards,1521500059,2015-07-17,WAS @ DEN,W,199,97,34,72,0.472,9,19,0.474,20,23,0.87,7.0,27.0,34.0,14,1,7,10,23,8.0,3.0,3.0
12015,1610612764,WAS,Washington Wizards,11500011,2015-10-06,WAS vs. PHI,W,240,129,48,96,0.5,15,26,0.5770000000000001,18,22,0.818,9.0,38.0,47.0,36,10,2,14,15,34.0,4.0,3.0
12015,1610612764,WAS,Washington Wizards,11500031,2015-10-09,WAS vs. NYK,L,240,104,41,94,0.436,4,23,0.174,18,23,0.7829999999999999,9.0,30.0,39.0,17,7,2,12,20,-11.0,4.0,4.0
12015,1610612764,WAS,Washington Wizards,11500041,2015-10-11,WAS vs. BAU,W,240,134,48,84,0.5710000000000001,13,30,0.433,25,35,0.7140000000000001,7.0,33.0,40.0,31,8,3,10,18,34.0,5.0,4.0
12015,1610612764,WAS,Washington Wizards,11500064,2015-10-16,WAS @ PHI,W,240,127,47,82,0.573,7,18,0.389,26,36,0.722,6.0,34.0,40.0,34,11,3,23,29,9.0,6.0,4.0
