PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
202323,2010-11,00,1610612755,PHI,22.0,78,14,1797.0,225,529,0.425,14,44,0.318,101,125,0.808,42,264,306,159,49,14,80,138,565
202323,2011-12,00,1610612755,PHI,23.0,65,20,1713.0,263,590,0.446,11,49,0.224,73,108,0.676,27,349,376,180,40,20,105,117,610
202323,2012-13,00,1610612755,PHI,24.0,82,82,2892.0,441,1053,0.419,58,159,0.365,154,208,0.74,56,461,517,354,71,17,187,197,1094
202323,2013-14,00,1610612755,PHI,25.0,54,54,1886.0,356,831,0.428,38,132,0.288,189,228,0.829,50,272,322,198,56,5,155,147,939
202323,2013-14,00,1610612754,IND,25.0,27,2,571.0,78,190,0.411,12,24,0.5,24,34,0.706,12,74,86,64,11,2,34,48,192
202323,2013-14,00,0,TOT,25.0,81,56,2457.0,434,1021,0.425,50,156,0.321,213,262,0.813,62,346,408,262,67,7,189,195,1131
202323,2014-15,00,1610612738,BOS,26.0,82,57,2260.0,320,746,0.429,33,119,0.277,106,141,0.752,40,377,417,449,83,19,198,180,779
202323,2015-16,00,1610612738,BOS,27.0,81,12,2271.0,343,753,0.456,20,83,0.241,148,179,0.827,50,347,397,359,80,28,169,139,854
202323,2016-17,00,1610612757,POR,28.0,65,12,1659.0,235,552,0.426,31,118,0.263,85,103,0.825,36,211,247,205,53,24,100,121,586
202323,2017-18,00,1610612757,POR,29.0,79,40,2034.0,258,577,0.447,42,132,0.318,91,107,0.85,30,214,244,173,47,29,99,163,649
202323,2018-19,00,1610612757,POR,30.0,57,2,1330.0,177,385,0.46,7,46,0.152,60,85,0.706,33,227,260,222,28,14,94,92,421
