TeamID,SEASON,LeagueID,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID
1610612752,2018,00,Kadeem Allen,0,G,6-3,200,"JAN 15, 1993",26.0,1,Arizona,1628443
1610612752,2018,00,Emmanuel Mudiay,1,G,6-5,200,"MAR 05, 1996",22.0,3,,1626144
1610612752,2018,00,Luke Kornet,2,F-C,7-1,250,"JUL 15, 1995",23.0,1,Vanderbilt,1628436
1610612752,2018,00,Isaiah Hicks,4,F,6-9,230,"JUL 24, 1994",24.0,1,North Carolina,1628439
1610612752,2018,00,Dennis Smith Jr.,5,G,6-3,195,"NOV 25, 1997",21.0,1,North Carolina State,1628372
1610612752,2018,00,DeAndre Jordan,6,C,6-11,265,"JUL 21, 1988",30.0,10,Texas A&M,201599
1610612752,2018,00,Mario Hezonja,8,F,6-8,225,"FEB 25, 1995",23.0,3,Croatia,1626209
1610612752,2018,00,Frank Ntilikina,11,G,6-6,200,"JUL 28, 1998",20.0,1,,1628373
1610612752,2018,00,Allonzo Trier,14,G,6-5,200,"JAN 17, 1996",23.0,R,University of Arizona,1629019
1610612752,2018,00,Kevin Knox,20,F,6-9,215,"AUG 11, 1999",19.0,R,Kentucky,1628995
1610612752,2018,00,Damyean Dotson,21,G,6-6,210,"MAY 06, 1994",24.0,1,Houston,1628422
1610612752,2018,00,Mitchell Robinson,26,C,7-1,240,"APR 01, 1998",20.0,R,,1629011
1610612752,2018,00,John Jenkins,30,G,6-4,215,"MAR 06, 1991",27.0,5,Vanderbilt,203098
1610612752,2018,00,Noah Vonleh,32,F,6-9,250,"AUG 24, 1995",23.0,4,Indiana,203943
1610612752,2018,00,Lance Thomas,42,F,6-8,240,"APR 24, 1988",30.0,7,Duke,202498
